"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"1400000US22001960100","Census Tract 9601, Acadia Parish, Louisiana","5804","600","4014","447","1522","406","77","142","0","18","0","18","0","18","191","137","0","18","191","137"
"1400000US22001960200","Census Tract 9602, Acadia Parish, Louisiana","5514","572","5346","568","85","105","0","18","0","18","0","18","0","18","83","87","0","18","83","87"
"1400000US22001960300","Census Tract 9603, Acadia Parish, Louisiana","3501","489","3422","483","21","23","0","13","0","13","0","13","49","95","9","14","0","13","9","14"
"1400000US22001960400","Census Tract 9604, Acadia Parish, Louisiana","7256","598","7021","576","108","82","9","16","16","27","0","18","15","25","87","88","0","18","87","88"
"1400000US22001960500","Census Tract 9605, Acadia Parish, Louisiana","7624","718","6528","733","659","280","0","18","38","60","0","18","0","18","399","434","77","102","322","413"
"1400000US22001960600","Census Tract 9606, Acadia Parish, Louisiana","6030","538","4663","416","1119","370","0","18","0","18","0","18","0","18","248","195","0","18","248","195"
"1400000US22001960700","Census Tract 9607, Acadia Parish, Louisiana","4276","502","1888","327","2157","450","0","13","0","13","0","13","56","97","175","141","0","13","175","141"
"1400000US22001960800","Census Tract 9608, Acadia Parish, Louisiana","5102","454","4253","406","775","243","0","18","1","3","0","18","0","18","73","105","0","18","73","105"
"1400000US22001960900","Census Tract 9609, Acadia Parish, Louisiana","4993","611","1605","390","3135","533","0","13","0","13","0","13","25","48","228","257","0","13","228","257"
"1400000US22001961000","Census Tract 9610, Acadia Parish, Louisiana","5139","471","3967","463","975","302","0","18","0","18","0","18","31","48","166","268","0","18","166","268"
"1400000US22001961100","Census Tract 9611, Acadia Parish, Louisiana","3881","363","3673","371","133","106","0","13","0","13","0","13","2","4","73","63","0","13","73","63"
"1400000US22001961200","Census Tract 9612, Acadia Parish, Louisiana","3337","330","3176","321","152","153","0","13","0","13","0","13","9","14","0","13","0","13","0","13"
"1400000US22003950100","Census Tract 9501, Allen Parish, Louisiana","5122","644","4941","538","12","17","7","16","10","18","0","18","152","193","0","18","0","18","0","18"
"1400000US22003950200","Census Tract 9502, Allen Parish, Louisiana","5344","419","3562","423","1271","265","10","15","56","39","0","18","243","72","202","113","77","34","125","104"
"1400000US22003950300","Census Tract 9503, Allen Parish, Louisiana","2870","438","1778","397","981","298","0","13","81","52","0","13","0","13","30","38","0","13","30","38"
"1400000US22003950400","Census Tract 9504, Allen Parish, Louisiana","3938","411","2893","337","684","219","118","119","0","13","0","13","0","13","243","154","0","13","243","154"
"1400000US22003950500","Census Tract 9505, Allen Parish, Louisiana","8344","492","5767","405","1897","326","395","154","5","11","0","18","45","42","235","147","8","15","227","140"
"1400000US22005030101","Census Tract 301.01, Ascension Parish, Louisiana","8917","855","7781","774","686","378","11","18","10","17","0","18","166","191","263","325","30","36","233","324"
"1400000US22005030102","Census Tract 301.02, Ascension Parish, Louisiana","4940","483","4727","502","54","88","11","17","0","13","43","66","63","105","42","38","0","13","42","38"
"1400000US22005030103","Census Tract 301.03, Ascension Parish, Louisiana","6116","546","5734","616","105","173","0","18","0","18","0","18","261","318","16","25","0","18","16","25"
"1400000US22005030203","Census Tract 302.03, Ascension Parish, Louisiana","12002","736","10533","829","561","488","0","20","505","148","0","20","136","119","267","126","0","20","267","126"
"1400000US22005030204","Census Tract 302.04, Ascension Parish, Louisiana","12117","995","9329","700","1960","589","0","20","173","137","0","20","0","20","655","354","0","20","655","354"
"1400000US22005030205","Census Tract 302.05, Ascension Parish, Louisiana","11688","741","8715","799","2064","428","0","20","247","183","0","20","62","78","600","403","0","20","600","403"
"1400000US22005030206","Census Tract 302.06, Ascension Parish, Louisiana","11437","783","8779","842","1589","410","26","45","0","20","0","20","502","514","541","334","22","37","519","330"
"1400000US22005030300","Census Tract 303, Ascension Parish, Louisiana","17127","1514","12293","1002","4373","1151","0","20","15","37","0","20","80","111","366","547","0","20","366","547"
"1400000US22005030401","Census Tract 304.01, Ascension Parish, Louisiana","4612","556","2900","432","1553","352","30","36","0","13","0","13","43","70","86","76","15","24","71","73"
"1400000US22005030402","Census Tract 304.02, Ascension Parish, Louisiana","8618","728","2867","503","4527","719","0","18","228","184","0","18","688","376","308","306","0","18","308","306"
"1400000US22005030500","Census Tract 305, Ascension Parish, Louisiana","8499","760","7956","761","251","285","0","18","86","95","0","18","86","122","120","99","0","18","120","99"
"1400000US22005030600","Census Tract 306, Ascension Parish, Louisiana","5619","540","3696","335","1450","304","0","18","14","17","0","18","82","85","377","255","41","48","336","249"
"1400000US22005030900","Census Tract 309, Ascension Parish, Louisiana","4827","706","1477","412","3150","561","0","13","0","13","0","13","33","42","167","243","0","13","167","243"
"1400000US22005031000","Census Tract 310, Ascension Parish, Louisiana","6595","615","2046","272","4456","599","18","16","19","31","0","18","27","23","29","24","0","18","29","24"
"1400000US22007050100","Census Tract 501, Assumption Parish, Louisiana","3914","487","1708","250","2118","439","0","13","0","13","0","13","70","109","18","43","0","13","18","43"
"1400000US22007050200","Census Tract 502, Assumption Parish, Louisiana","4212","367","4159","365","0","13","0","13","0","13","0","13","0","13","53","80","0","13","53","80"
"1400000US22007050300","Census Tract 503, Assumption Parish, Louisiana","3925","426","2085","306","1833","434","0","13","0","13","0","13","0","13","7","12","0","13","7","12"
"1400000US22007050400","Census Tract 504, Assumption Parish, Louisiana","3267","444","2344","349","889","268","6","10","0","13","0","13","0","13","28","48","28","48","0","13"
"1400000US22007050500","Census Tract 505, Assumption Parish, Louisiana","3124","574","1258","236","1712","477","24","47","0","13","0","13","80","157","50","59","0","13","50","59"
"1400000US22007050600","Census Tract 506, Assumption Parish, Louisiana","4036","403","3604","380","267","149","63","35","17","27","0","13","0","13","85","64","18","28","67","57"
"1400000US22009030100","Census Tract 301, Avoyelles Parish, Louisiana","2383","313","2221","314","135","99","0","13","0","13","0","13","0","13","27","47","0","13","27","47"
"1400000US22009030200","Census Tract 302, Avoyelles Parish, Louisiana","2972","304","2665","309","13","22","6","10","0","13","0","13","0","13","288","211","14","24","274","203"
"1400000US22009030300","Census Tract 303, Avoyelles Parish, Louisiana","3321","415","2707","390","293","158","49","52","19","31","0","13","11","19","242","207","0","13","242","207"
"1400000US22009030400","Census Tract 304, Avoyelles Parish, Louisiana","7337","793","4096","617","1980","458","168","119","81","93","1","2","11","17","1000","660","0","18","1000","660"
"1400000US22009030500","Census Tract 305, Avoyelles Parish, Louisiana","6885","607","4978","554","1547","375","92","76","105","114","0","18","25","32","138","90","23","38","115","87"
"1400000US22009030600","Census Tract 306, Avoyelles Parish, Louisiana","4925","425","2608","493","2201","341","0","13","0","13","0","13","0","13","116","119","0","13","116","119"
"1400000US22009030700","Census Tract 307, Avoyelles Parish, Louisiana","7721","529","4076","401","3288","501","30","33","9","14","80","105","83","80","155","115","8","14","147","112"
"1400000US22009030800","Census Tract 308, Avoyelles Parish, Louisiana","2578","390","2349","321","212","217","17","34","0","13","0","13","0","13","0","13","0","13","0","13"
"1400000US22009030900","Census Tract 309, Avoyelles Parish, Louisiana","2547","378","1267","177","1273","325","0","13","0","13","0","13","0","13","7","7","0","13","7","7"
"1400000US22011960100","Census Tract 9601, Beauregard Parish, Louisiana","6137","653","5749","620","92","92","13","20","65","56","0","18","23","26","195","169","0","18","195","169"
"1400000US22011960200","Census Tract 9602, Beauregard Parish, Louisiana","5711","500","4995","493","366","319","0","18","13","22","0","18","24","27","313","156","0","18","313","156"
"1400000US22011960300","Census Tract 9603, Beauregard Parish, Louisiana","4690","262","2797","254","1633","267","14","17","65","46","0","13","39","23","142","52","4","5","138","52"
"1400000US22011960400","Census Tract 9604, Beauregard Parish, Louisiana","3427","260","2137","182","1174","189","21","17","0","13","0","13","10","12","85","53","4","5","81","53"
"1400000US22011960500","Census Tract 9605, Beauregard Parish, Louisiana","5234","394","4056","407","932","282","42","39","37","27","4","7","4","9","159","70","18","18","141","67"
"1400000US22011960600","Census Tract 9606, Beauregard Parish, Louisiana","3383","315","2878","264","297","154","78","82","0","13","6","10","0","13","124","74","0","13","124","74"
"1400000US22011960700","Census Tract 9607, Beauregard Parish, Louisiana","8461","687","8308","713","126","135","11","17","0","18","0","18","0","18","16","25","0","18","16","25"
"1400000US22013970100","Census Tract 9701, Bienville Parish, Louisiana","3882","300","978","172","2770","328","0","13","0","13","0","13","115","134","19","23","0","13","19","23"
"1400000US22013970200","Census Tract 9702, Bienville Parish, Louisiana","1388","190","668","123","700","155","0","13","0","13","0","13","18","20","2","4","0","13","2","4"
"1400000US22013970300","Census Tract 9703, Bienville Parish, Louisiana","3080","299","1635","184","1397","211","6","9","0","13","0","13","13","22","29","39","0","13","29","39"
"1400000US22013970400","Census Tract 9704, Bienville Parish, Louisiana","2709","287","2416","274","227","95","0","13","0","13","0","13","0","13","66","52","2","4","64","52"
"1400000US22013970500","Census Tract 9705, Bienville Parish, Louisiana","2505","262","1731","242","764","117","0","13","5","5","0","13","0","13","5","11","0","13","5","11"
"1400000US22015010400","Census Tract 104, Bossier Parish, Louisiana","1184","237","417","146","762","184","0","13","0","13","0","13","0","13","5","9","0","13","5","9"
"1400000US22015010500","Census Tract 105, Bossier Parish, Louisiana","4737","424","2946","327","1618","396","0","13","92","96","0","13","35","39","46","42","0","13","46","42"
"1400000US22015010601","Census Tract 106.01, Bossier Parish, Louisiana","7345","752","3273","743","3348","589","54","87","257","238","0","18","280","226","133","107","0","18","133","107"
"1400000US22015010602","Census Tract 106.02, Bossier Parish, Louisiana","3358","421","1800","415","1447","346","11","18","21","24","0","13","11","17","68","83","0","13","68","83"
"1400000US22015010701","Census Tract 107.01, Bossier Parish, Louisiana","4216","636","1910","550","1732","507","0","13","376","248","25","43","0","13","173","113","0","13","173","113"
"1400000US22015010702","Census Tract 107.02, Bossier Parish, Louisiana","4445","520","2472","370","1847","442","0","13","60","50","0","13","0","13","66","55","0","13","66","55"
"1400000US22015010801","Census Tract 108.01, Bossier Parish, Louisiana","3156","362","1789","387","1230","224","0","13","34","39","0","13","42","71","61","55","0","13","61","55"
"1400000US22015010804","Census Tract 108.04, Bossier Parish, Louisiana","8500","636","6440","518","1354","374","89","101","315","230","12","24","83","92","207","162","74","87","133","138"
"1400000US22015010805","Census Tract 108.05, Bossier Parish, Louisiana","3429","428","2283","422","759","295","17","30","243","159","0","13","71","116","56","46","12","20","44","42"
"1400000US22015010806","Census Tract 108.06, Bossier Parish, Louisiana","4129","423","3206","386","722","241","23","27","34","37","0","13","16","18","128","98","30","41","98","87"
"1400000US22015010900","Census Tract 109, Bossier Parish, Louisiana","4623","971","3243","611","884","334","0","13","123","83","0","13","191","111","182","115","13","16","169","108"
"1400000US22015011001","Census Tract 110.01, Bossier Parish, Louisiana","8998","684","6465","792","2384","702","17","29","84","81","0","18","0","18","48","55","0","18","48","55"
"1400000US22015011002","Census Tract 110.02, Bossier Parish, Louisiana","4030","519","3626","531","261","185","85","75","46","69","0","13","0","13","12","19","0","13","12","19"
"1400000US22015011103","Census Tract 111.03, Bossier Parish, Louisiana","7309","509","6430","487","602","112","29","47","60","94","34","54","0","18","154","130","33","56","121","115"
"1400000US22015011105","Census Tract 111.05, Bossier Parish, Louisiana","7193","631","6328","616","652","180","47","66","54","64","0","18","101","143","11","19","0","18","11","19"
"1400000US22015011106","Census Tract 111.06, Bossier Parish, Louisiana","8684","842","6915","680","1573","685","0","18","24","30","0","18","75","68","97","112","92","111","5","9"
"1400000US22015011107","Census Tract 111.07, Bossier Parish, Louisiana","2059","286","1015","239","958","262","35","33","23","27","0","13","0","13","28","29","17","21","11","17"
"1400000US22015011108","Census Tract 111.08, Bossier Parish, Louisiana","16307","927","13581","994","1867","494","171","100","206","129","50","80","226","205","206","182","159","166","47","46"
