TractID,Lat,Long,Total_2018Pop,SeriesInt,SeriesComp,parish,pfips,ldhh,FID,x,y
22001960100,30.41013,-92.217194,5935,1374,1200,Acadia,22001,4,801,-10265571.078464525,3556377.92028979
22001960200,30.415924,-92.395874,5531,1427,1330,Acadia,22001,4,802,-10285461.645079466,3557125.817068996
22001960300,30.361271,-92.576561,3652,629,586,Acadia,22001,4,803,-10305575.629912429,3550072.903493317
22001960400,30.28404,-92.442123,7188,1220,1131,Acadia,22001,4,804,-10290610.060209163,3540113.0371059827
22001960500,30.318356,-92.234291,7285,1267,1145,Acadia,22001,4,805,-10267474.307798615,3544537.528771606
22001960600,30.242195,-92.230888,6141,1393,1266,Acadia,22001,4,806,-10267095.487571446,3534719.896418277
22001960700,30.243496,-92.287361,4497,972,891,Acadia,22001,4,807,-10273382.033175016,3534887.539577209
22001960800,30.237949,-92.349106,5023,1384,1263,Acadia,22001,4,808,-10280255.455134045,3534172.7843769384
22001960900,30.21143,-92.405548,5102,1158,1053,Acadia,22001,4,809,-10286538.549833398,3530756.2524495823
22001961000,30.197304,-92.378609,5083,1127,1020,Acadia,22001,4,810,-10283539.714070918,3528936.728272574
22001961100,30.147688,-92.518761,3778,435,397,Acadia,22001,4,811,-10299141.363344576,3522547.919898764
22001961200,30.139709,-92.361496,3353,696,629,Acadia,22001,4,812,-10281634.703624975,3521520.803349
22003950100,30.687477,-92.908836,5002,373,323,Allen,22003,5,813,-10342564.313715763,3592228.2479032874
22003950200,30.853683,-92.634064,5184,437,384,Allen,22003,5,814,-10311976.834591515,3613761.638791146
22003950300,30.810982,-92.662476,2942,496,404,Allen,22003,5,815,-10315139.643963933,3608225.810963521
22003950400,30.650875,-92.695152,4209,468,419,Allen,22003,5,816,-10318777.119645094,3587491.1369604054
22003950500,30.517563,-92.826904,8324,1291,1099,Allen,22003,5,817,-10333443.685196089,3570252.7393659535
22005030101,30.317635,-90.884499,8621,2171,1989,Ascension,22005,2,818,-10117216.149681782,3544444.551583857
22005030102,30.262306,-90.887299,5209,1525,1409,Ascension,22005,2,819,-10117527.844256002,3537311.5907514985
22005030103,30.278994,-90.843185,6398,1522,1417,Ascension,22005,2,820,-10112617.096239148,3539462.56779046
22005030203,30.325884,-90.970657,11781,4367,4024,Ascension,22005,2,821,-10126807.214369548,3545508.349489153
22005030204,30.311428,-90.93766,12573,3928,3599,Ascension,22005,2,822,-10123134.005131843,3543644.1507471744
22005030205,30.272415,-90.964294,10708,3794,3528,Ascension,22005,2,823,-10126098.88844963,3538614.5328788403
22005030206,30.279579,-90.927803,11292,2998,2760,Ascension,22005,2,824,-10122036.728911093,3539537.9772038287
22005030300,30.189606,-90.964432,15351,5683,5223,Ascension,22005,2,825,-10126114.25053936,3527945.2837972795
22005030401,30.244034,-90.937309,4965,1440,1330,Ascension,22005,2,826,-10123094.931990573,3534956.8653753577
22005030402,30.222754,-90.931854,7900,2774,2508,Ascension,22005,2,827,-10122487.684168298,3532215.0487405574
22005030500,30.20039,-90.770638,8949,2469,2287,Ascension,22005,2,828,-10104541.20114057,3529334.203617763
22005030600,30.183094,-90.901169,6041,1442,1316,Ascension,22005,2,829,-10119071.845593305,3527106.6477025994
22005030900,30.132408,-91.051079,4646,1067,980,Ascension,22005,2,830,-10135759.750458125,3520581.0367896534
22005031000,30.095423,-90.966995,6742,1974,1813,Ascension,22005,2,831,-10126399.562394263,3515821.4869172685
22007050100,30.036713,-91.069641,3717,789,714,Assumption,22007,3,832,-10137826.062846228,3508269.8307841704
22007050200,29.929089,-91.181671,4715,1396,1296,Assumption,22007,3,833,-10150297.185399799,3494438.148282638
22007050300,29.973465,-91.033424,3502,850,771,Assumption,22007,3,834,-10133794.40484817,3500139.472465556
22007050400,29.913683,-91.057411,3243,662,612,Assumption,22007,3,835,-10136464.625473827,3492459.416241781
22007050500,29.846695,-91.003471,3290,611,561,Assumption,22007,3,836,-10130460.052140439,3483859.096939374
22007050600,29.736324,-91.031876,4247,846,771,Assumption,22007,3,837,-10133622.08227642,3469701.57993086
22009030100,31.136951,-91.867493,2469,515,459,Avoyelles,22009,6,838,-10226642.541214624,3650547.6388516305
22009030200,31.253704,-92.12925,3090,535,481,Avoyelles,22009,6,839,-10255781.197166199,3665741.4541492164
22009030300,31.144535,-92.148651,3428,912,826,Avoyelles,22009,6,840,-10257940.90660708,3651534.0244711232
22009030400,31.132885,-92.079239,7355,1903,1723,Avoyelles,22009,6,841,-10250213.998112136,3650018.8416999076
22009030500,31.058247,-92.10569,6800,1682,1514,Avoyelles,22009,6,842,-10253158.50996311,3640315.9376823646
22009030600,30.929146,-92.187401,4893,1293,1167,Avoyelles,22009,6,843,-10262254.536875319,3623550.817348378
22009030700,30.97369,-92.051941,7519,1783,1646,Avoyelles,22009,6,844,-10247175.198652461,3629332.7602249356
22009030800,30.916538,-91.987556,2691,589,547,Avoyelles,22009,6,845,-10240007.893237736,3621914.750888859
22009030900,30.929199,-91.873062,2637,378,348,Avoyelles,22009,6,846,-10227262.479458852,3623557.6953038075
22011960100,30.723553,-93.114021,6150,976,881,Beauregard,22011,5,847,-10365405.403434182,3596899.040488914
22011960200,30.806068,-93.327301,5507,1078,945,Beauregard,22011,5,848,-10389147.624430573,3607588.9098586766
22011960300,30.863388,-93.272675,4612,1109,948,Beauregard,22011,5,849,-10383066.685926499,3615020.154567729
22011960400,30.82436,-93.272903,3538,843,744,Beauregard,22011,5,850,-10383092.066770399,3609959.8920081686
22011960500,30.850142,-93.3246,5106,1492,1329,Beauregard,22011,5,851,-10388846.95048594,3613302.4840652067
22011960600,30.602449,-93.576538,3366,505,440,Beauregard,22011,5,852,-10416892.560357414,3581226.492851177
22011960700,30.556482,-93.320473,8490,1410,1218,Beauregard,22011,5,853,-10388387.534947436,3575282.8545824788
22013970100,32.5532,-92.928154,3708,983,823,Bienville,22013,7,854,-10344714.78363891,3836147.799696107
22013970200,32.50021,-93.031693,1451,268,231,Bienville,22013,7,855,-10356240.692396153,3829151.555024009
22013970300,32.326008,-93.335564,3017,651,594,Bienville,22013,7,856,-10390067.457382997,3806180.7311916184
22013970400,32.293301,-93.178375,2716,462,420,Bienville,22013,7,857,-10372569.257944692,3801872.817990182
22013970500,32.301395,-92.947464,2776,679,611,Bienville,22013,7,858,-10346864.363006126,3802938.752309606
22015010400,32.53463,-93.740829,1193,312,262,Bossier,22015,7,859,-10435181.350819333,3833695.541654485
22015010500,32.546356,-93.71817,4716,1279,1137,Bossier,22015,7,860,-10432658.962477447,3835243.957475214
22015010601,32.542442,-93.687843,7384,1543,1335,Bossier,22015,7,861,-10429282.97628016,3834727.092120162
22015010602,32.526039,-93.710678,3178,825,727,Bossier,22015,7,862,-10431824.956852425,3832561.230227507
22015010701,32.517002,-93.698898,4049,910,803,Bossier,22015,7,863,-10430513.61325088,3831368.1483033327
22015010702,32.509083,-93.692833,4432,919,814,Bossier,22015,7,864,-10429838.460539218,3830322.765480531
22015010801,32.502537,-93.70826,3233,813,721,Bossier,22015,7,865,-10431555.786323685,3829458.7011452694
22015010804,32.468243,-93.651833,8449,2400,2212,Bossier,22015,7,866,-10425274.361416694,3824932.9606917077
22015010805,32.475529,-93.683876,3444,1014,892,Bossier,22015,7,867,-10428841.371860182,3825894.341615165
22015010806,32.485058,-93.670708,4291,1351,1245,Bossier,22015,7,868,-10427375.516805418,3827151.801740696
22015010900,32.500385,-93.599709,4884,220,193,Bossier,22015,7,869,-10419471.944278587,3829174.6534030926
22015011001,32.447311,-93.539452,8913,2301,2134,Bossier,22015,7,870,-10412764.165721856,3822171.435404441
22015011002,32.350876,-93.507545,4093,1797,1676,Bossier,22015,7,871,-10409212.294729114,3809457.1933735684
22015011103,32.694477,-93.54528,7297,2359,2188,Bossier,22015,7,872,-10413412.935714198,3854820.757502029
22015011105,32.55368,-93.575813,6807,2126,1941,Bossier,22015,7,873,-10416811.85372659,3836211.19273617
22015011106,32.572327,-93.495392,8285,2017,1844,Bossier,22015,7,874,-10407859.428957503,3838674.1427681986
22015011107,32.692432,-93.743294,2443,497,455,Bossier,22015,7,875,-10435455.753364138,3854550.253938316
22015011108,32.642338,-93.700317,15776,5006,4625,Bossier,22015,7,876,-10430671.575608315,3847925.9743918683
22015011109,32.553757,-93.649559,7886,2815,2525,Bossier,22015,7,877,-10425021.22089463,3836221.362067904
22015011110,32.57856,-93.719032,8557,2907,2676,Bossier,22015,7,878,-10432754.91987851,3839497.529730342
22015011200,32.871693,-93.659897,5144,1584,1445,Bossier,22015,7,879,-10426172.04179045,3878285.71248089
22015011300,32.51757,-93.728241,1677,322,273,Bossier,22015,7,880,-10433780.061069226,3831443.1332100052
22017020500,32.53447,-93.761444,3074,721,643,Caddo,22017,7,881,-10437476.202122036,3833674.4150864906
22017020600,32.515465,-93.766846,720,,,Caddo,22017,7,882,-10438077.550011301,3831165.2425780883
22017020700,32.507187,-93.770531,753,,,Caddo,22017,7,883,-10438487.762334874,3830072.4892290924
22017021000,32.490707,-93.751007,1839,433,379,Caddo,22017,7,884,-10436314.360596627,3827897.3145222208
22017021100,32.496319,-93.737457,2500,665,565,Caddo,22017,7,885,-10434805.981496377,3828637.9906726466
22017021200,32.487091,-93.7379,3293,1068,972,Caddo,22017,7,886,-10434855.296030799,3827420.096488553
22017021300,32.495937,-93.720894,2370,621,558,Caddo,22017,7,887,-10432962.196770368,3828587.572548185
22017021400,32.487526,-93.710503,2398,635,578,Caddo,22017,7,888,-10431805.475941535,3827477.504169728
22017021500,32.475399,-93.72995,2311,753,693,Caddo,22017,7,889,-10433970.306078993,3825877.1875543497
22017021600,32.475525,-93.74659,3819,1604,1500,Caddo,22017,7,890,-10435822.662405793,3825893.8137975386
22017021700,32.475948,-93.767212,1668,584,488,Caddo,22017,7,891,-10438118.29294493,3825949.63064131
22017021800,32.487194,-93.768623,1153,462,413,Caddo,22017,7,892,-10438275.36474644,3827433.689546605
22017021900,32.497841,-93.773422,1266,361,326,Caddo,22017,7,893,-10438809.586982757,3828838.873388899
22017022000,32.505325,-93.787132,1847,494,450,Caddo,22017,7,894,-10440335.777201533,3829826.7061904054
22017022100,32.494217,-93.794441,5825,1556,1411,Caddo,22017,7,895,-10441149.411359742,3828360.5616558935
22017022200,32.475258,-93.817192,5357,1314,1186,Caddo,22017,7,896,-10443682.04109478,3825858.582024084
22017022300,32.478424,-93.788689,2445,566,498,Caddo,22017,7,897,-10440509.1016487,3826276.3557727356
22017022400,32.46394,-93.786407,3026,614,534,Caddo,22017,7,898,-10440255.070570707,3824365.220380663
22017022500,32.463226,-93.766479,5045,1040,934,Caddo,22017,7,899,-10438036.695758179,3824271.017431344
22017022600,32.461884,-93.746086,2986,1609,1526,Caddo,22017,7,900,-10435766.557382433,3824093.9601273807
22017022700,32.462879,-93.728447,2481,923,842,Caddo,22017,7,313,-10433802.99288433,3824225.235595392
22017022800,32.466053,-93.715553,3949,1566,1455,Caddo,22017,7,318,-10432367.639370041,3824644.0074339802
22017022900,32.469406,-93.700279,4468,1570,1438,Caddo,22017,7,320,-10430667.345467664,3825086.412242117
22017023000,32.450523,-93.717415,4612,2084,1931,Caddo,22017,7,322,-10432574.916261898,3822595.147755184
22017023100,32.445194,-93.737206,1453,771,709,Caddo,22017,7,324,-10434778.040304188,3821892.178702865
22017023200,32.448002,-93.751564,1547,301,270,Caddo,22017,7,326,-10436376.365553,3822262.587689303
22017023300,32.448986,-93.768181,2482,449,393,Caddo,22017,7,328,-10438226.16153151,3822392.3918598965
22017023400,32.444378,-93.791077,6596,1407,1241,Caddo,22017,7,330,-10440774.932592712,3821784.5406487365
22017023500,32.456905,-93.802963,3389,804,728,Caddo,22017,7,332,-10442098.076060282,3823437.0768305575
22017023600,32.460526,-93.819267,3137,757,685,Caddo,22017,7,334,-10443913.029038174,3823914.7945425096
22017023700,32.433613,-93.765991,6757,1286,1127,Caddo,22017,7,336,-10437982.371846674,3820364.6273873835
22017023800,32.429756,-93.740204,5387,2222,2039,Caddo,22017,7,338,-10435111.776137587,3819855.926842605
22017023901,32.431133,-93.692223,6613,2883,2636,Caddo,22017,7,340,-10429770.555649834,3820037.537166107
22017023903,32.401455,-93.741623,4262,1703,1539,Caddo,22017,7,342,-10435269.738495022,3816123.967212786
22017023904,32.431915,-93.722588,3325,1385,1276,Caddo,22017,7,344,-10433150.771987772,3820140.6751276925
22017023905,32.417362,-93.710907,4586,1794,1658,Caddo,22017,7,346,-10431850.449015817,3818221.4268270507
22017024000,32.319374,-93.625298,12175,5873,5449,Caddo,22017,7,347,-10422320.498728493,3805306.8262450346
22017024102,32.350677,-93.801636,3676,1183,1076,Caddo,22017,7,348,-10441950.355095997,3809430.9707236234
22017024104,32.412773,-93.778435,7496,1912,1716,Caddo,22017,7,349,-10439367.631590104,3817616.2941348706
22017024106,32.398598,-93.827965,7438,2090,1890,Caddo,22017,7,350,-10444881.285969095,3815747.289065587
22017024107,32.421772,-93.804306,5135,1379,1231,Caddo,22017,7,351,-10442247.578136416,3818802.9845220395
22017024108,32.388737,-93.80127,6516,2177,1947,Caddo,22017,7,352,-10441909.612162368,3814447.26749114
22017024109,32.391548,-93.776154,4158,1203,1088,Caddo,22017,7,353,-10439113.711831605,3814817.8402531594
22017024201,32.420563,-93.851997,4547,1275,1158,Caddo,22017,7,354,-10447556.515971838,3818643.54784923
22017024202,32.360027,-93.892059,6960,2098,1924,Caddo,22017,7,355,-10452016.197412,3810663.102285907
22017024203,32.28204,-93.961533,4807,1249,1144,Caddo,22017,7,356,-10459750.00771537,3800389.9658610765
22017024301,32.482319,-93.954903,6694,2474,2281,Caddo,22017,7,357,-10459011.959491411,3826790.345847768
22017024303,32.43576,-93.883781,5639,1407,1265,Caddo,22017,7,358,-10451094.694667213,3820647.805098634
22017024304,32.414436,-93.980637,5048,1498,1380,Caddo,22017,7,359,-10461876.655267486,3817835.583598946
22017024400,32.488129,-93.843201,4594,1734,1602,Caddo,22017,7,360,-10446577.349730821,3827557.0835522995
22017024503,32.611012,-93.847511,5245,1168,1060,Caddo,22017,7,361,-10447057.13673614,3843785.4040374104
22017024504,32.626579,-93.977058,6438,1294,1162,Caddo,22017,7,362,-10461478.242809936,3845842.8190915897
22017024601,32.56316,-93.819397,5187,845,741,Caddo,22017,7,363,-10443927.500571977,3837463.2747584144
22017024602,32.53228,-93.798203,5034,1092,987,Caddo,22017,7,364,-10441568.195284106,3833385.248969902
22017024700,32.580898,-93.788437,1840,672,613,Caddo,22017,7,365,-10440481.049137019,3839806.397165485
22017024800,32.704418,-93.833992,918,254,225,Caddo,22017,7,366,-10445552.208540106,3856135.797348924
22017024900,32.82114,-93.977318,3451,531,483,Caddo,22017,7,367,-10461507.185877543,3871587.283140364
22017025000,32.872864,-93.979042,3627,762,697,Caddo,22017,7,368,-10461699.100679671,3878440.9188492615
22017025100,32.938946,-93.897247,1776,337,301,Caddo,22017,7,369,-10452593.722930234,3887202.8671875857
22017025200,32.499611,-93.76091,876,430,389,Caddo,22017,7,370,-10437416.757513952,3829072.49291239
22017025300,32.50893,-93.745659,1484,417,363,Caddo,22017,7,371,-10435719.023959864,3830302.568941687
22017025405,32.584476,-93.869049,4624,1323,1217,Caddo,22017,7,372,-10449454.735928847,3840279.0935491845
22017025406,32.546288,-93.908768,4239,1191,1109,Caddo,22017,7,373,-10453876.234783664,3835234.9775066483
22017980000,32.445953,-93.825157,0,,,Caddo,22017,7,374,-10444568.700838948,3821992.298797146
22019000100,30.228519,-93.21331,2088,777,688,Calcasieu,22019,5,375,-10376458.204355557,3532957.780214012
22019000200,30.244415,-93.221222,1535,410,368,Calcasieu,22019,5,376,-10377338.964166712,3535005.9606404137
22019000300,30.256516,-93.200523,2106,450,410,Calcasieu,22019,5,377,-10375034.762026783,3536565.382008032
22019000400,30.23205,-93.198997,1060,299,250,Calcasieu,22019,5,378,-10374864.888483832,3533412.7166924207
22019000500,30.223404,-93.22718,3440,1423,1305,Calcasieu,22019,5,379,-10378002.20569286,3532298.789053335
22019000600,30.219086,-93.187233,7485,1809,1598,Calcasieu,22019,5,380,-10373555.32599414,3531742.506086575
22019000700,30.207621,-93.235741,4695,1255,1099,Calcasieu,22019,5,381,-10378955.21185354,3530265.6018168577
22019000800,30.205194,-93.210213,3534,756,641,Calcasieu,22019,5,382,-10376113.447892567,3529952.9813501616
22019000900,30.20376,-93.191635,3933,1457,1312,Calcasieu,22019,5,383,-10374045.354392612,3529768.2722623185
22019001000,30.187376,-93.227188,3497,1499,1360,Calcasieu,22019,5,384,-10378003.096248785,3527658.0910542635
22019001100,30.186663,-93.212051,4924,925,798,Calcasieu,22019,5,385,-10376318.053116648,3527566.2680199654
22019001201,30.186518,-93.19709,5048,1158,1025,Calcasieu,22019,5,386,-10374652.602214888,3527547.5944126975
22019001202,30.187071,-93.184357,3236,598,506,Calcasieu,22019,5,387,-10373235.171138618,3527618.8118348173
22019001300,30.159435,-93.221085,6494,2320,2081,Calcasieu,22019,5,388,-10377323.713396473,3524060.2327864957
22019001400,30.270399,-93.161636,5474,1643,1471,Calcasieu,22019,5,389,-10370705.880988304,3538354.681301324
22019001500,30.236151,-93.180458,1639,504,452,Calcasieu,22019,5,390,-10372801.136444014,3533941.1128728855
22019001600,30.223726,-93.15274,4794,910,786,Calcasieu,22019,5,391,-10369715.582798207,3532340.2729209606
22019001700,30.120895,-93.169357,9848,2350,2127,Calcasieu,22019,5,392,-10371565.37877672,3519099.253276198
22019001801,30.107653,-93.273933,10986,3396,3071,Calcasieu,22019,5,393,-10383206.725845916,3517395.151977207
22019001901,30.194431,-93.258766,3669,1561,1430,Calcasieu,22019,5,394,-10381518.343129054,3528566.6984252622
22019001903,30.158293,-93.242851,6618,2193,1957,Calcasieu,22019,5,395,-10379746.69343308,3523913.2034022533
22019001904,30.176041,-93.262085,5893,2507,2229,Calcasieu,22019,5,396,-10381887.812518997,3526198.4024399463
22019002000,30.177963,-93.047508,10392,2025,1794,Calcasieu,22019,5,397,-10358001.210143048,3526445.9002339225
22019002100,30.233381,-93.013474,3254,518,465,Calcasieu,22019,5,398,-10354212.562593391,3533584.2078916826
22019002201,30.356184,-93.200333,8694,2133,1929,Calcasieu,22019,5,399,-10375013.61132353,3549416.631952338
22019002203,30.31399,-93.221893,6739,1636,1480,Calcasieu,22019,5,400,-10377413.659545032,3543974.5178819867
22019002204,30.299114,-93.197128,5295,1304,1167,Calcasieu,22019,5,401,-10374656.83235554,3542056.3942268714
22019002300,30.354233,-93.40329,2847,731,652,Calcasieu,22019,5,402,-10397606.681216462,3549164.943389559
22019002400,30.449249,-93.435326,6118,965,825,Calcasieu,22019,5,403,-10401172.912423516,3561428.312346023
22019002500,30.273104,-93.244057,3744,989,889,Calcasieu,22019,5,404,-10379880.944738977,3538703.3425037395
22019002600,30.252916,-93.258354,4735,1122,1005,Calcasieu,22019,5,405,-10381472.479498846,3536101.440200258
22019002700,30.262526,-93.409111,7572,1597,1403,Calcasieu,22019,5,406,-10398254.671972368,3537339.9449737696
22019002800,30.242067,-93.376488,4143,671,595,Calcasieu,22019,5,407,-10394623.09622422,3534703.4028223255
22019002900,30.226765,-93.383911,2278,455,395,Calcasieu,22019,5,408,-10395449.420804378,3532731.7997158533
22019003000,30.226429,-93.363762,4630,1148,998,Calcasieu,22019,5,409,-10393206.444384385,3532688.5108672203
22019003101,30.225813,-93.337387,4892,1591,1453,Calcasieu,22019,5,410,-10390270.392814713,3532609.1483622063
22019003102,30.230654,-93.31778,2314,796,740,Calcasieu,22019,5,411,-10388087.751558729,3533232.8531356286
22019003200,30.119473,-93.378532,1952,419,376,Calcasieu,22019,5,412,-10394850.633263402,3518916.2464013905
22019003300,30.179039,-93.370636,5034,928,823,Calcasieu,22019,5,413,-10393971.654564098,3526584.4598997687
